Loading base network...
Initializing weights...
Loading Dataset...
Training SSD_mobilenet ssd_new_mobilenet_FFA on Oxford hand dataset with multibox loss
Data augmentaion: v2
Timer: 3.3360 sec.
iter 22700 || lr: 0.001000  || loc_loss: 4.1448  || cls_loss: 1.8519  Timer: 0.0809 sec.
iter 22800 || lr: 0.001000  || loc_loss: 4.6739  || cls_loss: 1.9587  Timer: 0.0737 sec.
iter 22900 || lr: 0.001000  || loc_loss: 6.3430  || cls_loss: 2.4147  Timer: 0.0785 sec.
iter 23000 || lr: 0.001000  || loc_loss: 5.3020  || cls_loss: 2.1617  Timer: 0.0657 sec.
iter 23100 || lr: 0.001000  || loc_loss: 5.6092  || cls_loss: 1.9339  Timer: 0.0602 sec.
iter 23200 || lr: 0.001000  || loc_loss: 3.8743  || cls_loss: 1.7069  Timer: 0.0661 sec.
iter 23300 || lr: 0.001000  || loc_loss: 5.3602  || cls_loss: 2.1207  Timer: 0.0628 sec.
iter 23400 || lr: 0.001000  || loc_loss: 4.2487  || cls_loss: 1.9084  Timer: 0.0695 sec.
iter 23500 || lr: 0.001000  || loc_loss: 6.1748  || cls_loss: 2.2047  Timer: 0.0686 sec.
iter 23600 || lr: 0.001000  || loc_loss: 4.3903  || cls_loss: 2.0250  Timer: 0.0721 sec.
iter 23700 || lr: 0.001000  || loc_loss: 5.4628  || cls_loss: 2.2301  Timer: 0.0663 sec.
